#;Nome;Sq.;R.;PGv;MV;FM
7183;Aboukhlal;Torino;A;9;5,72;5,61
513;Acerbi;Inter;D;11;6,05;5,95
7127;Addai;Como;A;11;6;6,64
4870;Adopo;Cagliari;C;23;5,76;5,85
6677;Adzic;Juventus;C;4;6,12;6,88
5784;Aebischer;Pisa;C;22;5,84;5,89
6916;Ahanor;Atalanta;D;14;5,79;5,71
6593;Akinsanmiro;Pisa;C;13;6;6
5286;Akpa Akpro;Verona;C;9;5,89;5,67
7338;Albarracin;Cagliari;A;0;0;0
388;Albiol;Pisa;D;6;5,83;5,75
6207;Almqvist;Parma;A;8;5,88;5,88
7010;Al-Musrati;Verona;C;8;5,69;5,62
7341;Amorim;Genoa;C;0;0;0
7143;Angori;Pisa;D;20;5,98;6
6889;Anjorin;Torino;C;6;5,67;5,58
7277;Arena A.;Roma;A;0;0;0
7312;Arizala;Udinese;D;0;0;0
7211;Athekame;Milan;D;6;5,92;6,17
761;Audero;Cremonese;P;19;6,26;5,16
7036;Bakola;Sassuolo;C;0;0;0
5823;Baldanzi;Genoa;C;9;6;6,22
7262;Balentien;Milan;A;0;0;0
6001;Banda;Lecce;A;18;5,97;6,25
6013;Barbieri;Cremonese;D;16;6,09;6
6496;Bartesaghi;Milan;D;18;6,08;6,39
5674;Basic;Lazio;C;15;6,13;6,4
7161;Bayo V.;Udinese;A;8;5,75;5,88
6191;Belahyane;Lazio;C;8;5,75;5,69
7220;Belghali;Verona;D;15;6,3;6,53
7253;Bella-Kotchap;Verona;D;13;5,88;5,77
441;Belotti;Cagliari;A;3;6,33;8,33
6015;Berisha M.;Lecce;C;12;6,17;6,92
184;Bernardeschi;Bologna;C;12;5,79;5,96
7219;Bernasconi;Atalanta;D;12;6,17;6,21
7028;Bernede;Verona;C;23;5,85;6,04
5820;Bertola;Udinese;D;18;5,86;5,86
612;Bianchetti;Cremonese;D;19;5,79;5,79
7332;Bijlow;Genoa;P;2;6;3,5
252;Biraghi;Torino;D;9;5,56;5,56
6217;Bisseck;Inter;D;12;6,17;6,42
2832;Boga;Juventus;A;0;0;0
6219;Boloca;Sassuolo;C;2;5,75;5,75
5992;Bondo;Cremonese;C;20;5,9;5,8
6243;Borrelli;Cagliari;A;21;5,95;6,36
7347;Bowie;Verona;A;0;0;0
7325;Bozhinov;Pisa;D;1;5;4,5
5532;Bradaric;Verona;D;18;5,78;5,72
4947;Brescianini;Fiorentina;C;8;6,06;6,75
7255;Britschgi;Parma;D;18;5,83;5,86
7249;Buksa;Udinese;A;12;5,92;6,12
